,Valid_Observations,Coverage_%
NL_AEX,4862,92.2
FR_CAC40,4859,92.1
BE_BEL20,4859,92.1
EA_2Y_ECB,4856,92.0
EA_10Y_ECB,4856,92.0
ES_IBEX35,4852,92.0
IT_FTSEMIB,4830,91.5
DE_DAX,4824,91.4
IE_ISEQ,4820,91.4
UK_FTSE100,4796,90.9
AU_ASX200,4794,90.9
US_SP500,4781,90.6
CH_SMI,4771,90.4
CA_TSX,4768,90.4
MX_IPC,4767,90.4
US_10Y,4754,90.1
US_2Y,4754,90.1
SG_STI,4747,90.0
AT_ATX,4722,89.5
GR_ASE,4704,89.2
BR_Bovespa,4699,89.1
KR_KOSPI,4690,88.9
HK_HangSeng,4680,88.7
NZ_NZX50,4678,88.7
PH_PSEi,4663,88.4
MY_KLCI,4660,88.3
JP_Nikkei225,4650,88.1
AR_Merval,4633,87.8
TH_SET,4625,87.7
ID_IDX,4619,87.5
CN_SSEComposite,4612,87.4
IL_TA125,4202,79.6
EA_EuroStoxx50,4202,79.6
SA_TASI,4098,77.7
HU_BUX,4091,77.5
IN_Nifty50,3992,75.7
SE_OMX30,3791,71.9
CL_IPSA,3595,68.1
ZA_JSE,2992,56.7
FI_OMX25,2708,51.3
RU_MOEX,2682,50.8
EE_OMXTallinn,2642,50.1
LT_OMXVilnius,2634,49.9
IS_OMXI,2105,39.9
DK_OMXC25,1712,32.4
LV_OMXRiga,1184,22.4
NL_10Y,229,4.3
BE_10Y,229,4.3
IT_10Y,229,4.3
FR_10Y,229,4.3
DE_10Y,229,4.3
ES_10Y,229,4.3
AT_10Y,229,4.3
FI_10Y,229,4.3
GB_10Y,229,4.3
IE_10Y,229,4.3
CH_10Y,229,4.3
CA_10Y,229,4.3
PT_10Y,229,4.3
NO_10Y,229,4.3
PL_10Y,229,4.3
CL_10Y,229,4.3
DK_10Y,229,4.3
SE_10Y,229,4.3
JP_10Y,229,4.3
AU_10Y,229,4.3
NZ_10Y,229,4.3
IL_10Y,229,4.3
CZ_10Y,229,4.3
HU_10Y,229,4.3
ZA_10Y,229,4.3
KR_10Y,229,4.3
GR_10Y,228,4.3
MX_10Y,171,3.2
RU_10Y_monthly,162,3.1
IN_10Y,146,2.8
